feature_names,importance
wap_mean,942.8444017410278
bid_spread_mean_300,1425.893497401476
volume_imbalance_mean_300,1611.8185989022254
trade_size_sum_300,1682.5959205448628
wap_mean_300,1910.9639480531216
trade_order_count_mean_300,2243.3635490357874
trade_size_sum,2771.0777881801127
total_volume_mean_300,3218.2900200009344
bid_spread_mean,3621.510128259659
wap_balance_mean,4011.5117578685285
ask_spread_mean_300,5148.234491199255
stock_id_target_enc,6124.354762786626
total_volume_mean,6203.729185444116
wap_balance_mean_300,7524.1254827559
trade_seconds_in_bucket_count_unique,8429.651063776017
trade_order_count_mean,9542.324829131365
trade_seconds_in_bucket_count_unique_300,11900.479432576894
volume_imbalance_mean,13629.263066607713
price_spread_mean,14812.79929614067
price_spread_mean_300,16502.322487610578
ask_spread_mean,23197.37136950493
trade_log_return_realized_volatility_300,31327.737071287633
trade_log_return_realized_volatility,35568.31706219316
stock_id,85206.8951276183
log_return2_realized_volatility_300,115763.59285180569
log_return2_realized_volatility,299515.0399557889
log_return_realized_volatility_300,779176.9560566306
log_return_realized_volatility,2923363.9031684995
